event_id,video,frame_id,video_time_sec,type,type_cn,confidence,direction,message,bbox,source_frame_ids
2-road_obstacle-211,2,211,7.276,road_obstacle,路面障碍,0.5558,right_front,右前方有障碍，请注意避让。,"[374, 108, 388, 150]","[210, 211]"
2-blind_road_occupied-214,2,214,7.379,blind_road_occupied,盲道占用,0.7005,front,前方盲道被占用，请注意绕行。,"[181, 538, 460, 960]","[213, 214]"
2-blind_road_occupied-222,2,222,7.655,blind_road_occupied,盲道占用,0.6491,front,前方盲道被占用，请注意绕行。,"[4, 563, 464, 960]","[221, 222]"
2-blind_road_occupied-259,2,259,8.931,blind_road_occupied,盲道占用,0.5825,front,前方盲道被占用，请注意绕行。,"[295, 475, 403, 636]","[258, 259]"
2-blind_road_occupied-264,2,264,9.103,blind_road_occupied,盲道占用,0.6455,front,前方盲道被占用，请注意绕行。,"[249, 488, 389, 660]","[263, 264]"
2-blind_road_occupied-272,2,272,9.379,blind_road_occupied,盲道占用,0.5637,front,前方盲道被占用，请注意绕行。,"[186, 516, 366, 717]","[271, 272]"
2-blind_road_occupied-278,2,278,9.586,blind_road_occupied,盲道占用,0.6788,front,前方盲道被占用，请注意绕行。,"[162, 533, 362, 764]","[277, 278]"
2-blind_road_occupied-283,2,283,9.759,blind_road_occupied,盲道占用,0.6349,front,前方盲道被占用，请注意绕行。,"[146, 565, 368, 835]","[282, 283]"
2-blind_road_occupied-288,2,288,9.931,blind_road_occupied,盲道占用,0.7398,front,前方盲道被占用，请注意绕行。,"[126, 592, 372, 900]","[287, 288]"
2-blind_road_occupied-293,2,293,10.103,blind_road_occupied,盲道占用,0.7934,front,前方盲道被占用，请注意绕行。,"[124, 608, 379, 952]","[292, 293]"
2-blind_road_occupied-298,2,298,10.276,blind_road_occupied,盲道占用,0.6647,front,前方盲道被占用，请注意绕行。,"[23, 642, 393, 960]","[297, 298]"
2-blind_road_occupied-333,2,333,11.483,blind_road_occupied,盲道占用,0.5614,front,前方盲道被占用，请注意绕行。,"[235, 208, 409, 469]","[332, 333]"
2-blind_road_occupied-345,2,345,11.897,blind_road_occupied,盲道占用,0.7054,front,前方盲道被占用，请注意绕行。,"[252, 208, 394, 533]","[344, 345]"
2-blind_road_occupied-350,2,350,12.069,blind_road_occupied,盲道占用,0.7623,front,前方盲道被占用，请注意绕行。,"[231, 219, 380, 577]","[349, 350]"
2-blind_road_occupied-355,2,355,12.241,blind_road_occupied,盲道占用,0.7865,front,前方盲道被占用，请注意绕行。,"[204, 238, 365, 629]","[354, 355]"
2-blind_road_occupied-360,2,360,12.414,blind_road_occupied,盲道占用,0.7040,front,前方盲道被占用，请注意绕行。,"[177, 256, 356, 678]","[359, 360]"
2-blind_road_occupied-365,2,365,12.586,blind_road_occupied,盲道占用,0.7057,front,前方盲道被占用，请注意绕行。,"[87, 238, 354, 760]","[364, 365]"
2-blind_road_occupied-370,2,370,12.759,blind_road_occupied,盲道占用,0.8010,front,前方盲道被占用，请注意绕行。,"[140, 291, 353, 841]","[369, 370]"
2-blind_road_occupied-375,2,375,12.931,blind_road_occupied,盲道占用,0.7627,front,前方盲道被占用，请注意绕行。,"[127, 306, 362, 930]","[374, 375]"
2-blind_road_occupied-380,2,380,13.103,blind_road_occupied,盲道占用,0.6990,front,前方盲道被占用，请注意绕行。,"[121, 343, 388, 960]","[379, 380]"
2-blind_road_occupied-385,2,385,13.276,blind_road_occupied,盲道占用,0.6117,front,前方盲道被占用，请注意绕行。,"[132, 343, 396, 960]","[384, 385]"
2-blind_road_occupied-390,2,390,13.448,blind_road_occupied,盲道占用,0.6930,front,前方盲道被占用，请注意绕行。,"[138, 445, 397, 960]","[389, 390]"
